Title     : CONFUSING WORDS IN ENGLISH 📝  | Vocabulary Quiz Lesson
Video ID  : 2HhESbmc4VQ
[31:31.92]  members. uh saw members today uh Dorcas,
[31:35.04]  Valerie, Gustav, uh Tyel, Lai. Uh always
[31:39.92]  great to see so many members uh
[31:41.92]  participating in these lessons. If you
[31:43.68]  guys want to show us a little bit of
[31:45.60]  love, support our channel. Uh there are
[31:47.84]  links down in the description below for
[31:50.40]  uh YouTube membership, joining me on
[31:53.12]  Patreon. I really appreciate it. Really
[31:55.60]  kind of helps uh help keep all of this
[31:58.32]  going and and the engine running. Uh, I
[32:01.52]  hope again that you guys learned uh some
[32:04.48]  maybe some new words or if they weren't
[32:06.96]  new words that you were able to
[32:08.80]  understand the difference between some
[32:11.28]  of those words because again they are
[32:13.44]  they are commonly confused. Thank you
[32:16.48]  guys so much for joining me. Give a few
[32:18.40]  more quick shoutouts. Olivia, uh,
[32:20.88]  Roxanna, um, to the the members and
[32:24.08]  patrons here, uh, Teao, Maria, Teresa,
[32:27.36]  uh, Lai, Dorcas, um, Valerie, thank you
[32:31.36]  guys. Gustav,
[32:33.68]  um, Suana,
[32:36.00]  uh, Hugs for Drugs, thank you for being
[32:38.64]  here. Uh, Limey.
[32:42.32]  All right, I am going to have to end it
[32:44.56]  there. Hope you guys enjoy the rest of
[32:46.88]  your weekend. And of course, I will be
[32:49.28]  back for another live lesson in the
